season,city,date,team1,venue
2017,Hyderabad,5/4/2017,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2017,Pune,6/4/2017,Mumbai Indians,Maharashtra Cricket Association Stadium
2017,Rajkot,7/4/2017,Gujarat Lions,Saurashtra Cricket Association Stadium
2017,Indore,8/4/2017,Rising Pune Supergiant,Holkar Cricket Stadium
2017,Bangalore,8/4/2017,Royal Challengers Bangalore,M Chinnaswamy Stadium
2017,Hyderabad,9/4/2017,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal"
2017,Mumbai,9/4/2017,Kolkata Knight Riders,Wankhede Stadium
2017,Indore,10/4/2017,Royal Challengers Bangalore,Holkar Cricket Stadium
2017,Pune,11/4/2017,Delhi Daredevils,Maharashtra Cricket Association Stadium
2017,Mumbai,12/4/2017,Sunrisers Hyderabad,Wankhede Stadium
2017,Kolkata,13/04/17,Kings XI Punjab,Eden Gardens
2017,Bangalore,14/04/17,Royal Challengers Bangalore,M Chinnaswamy Stadium
2017,Rajkot,14/04/17,Rising Pune Supergiant,Saurashtra Cricket Association Stadium
2017,Kolkata,15/04/17,Kolkata Knight Riders,Eden Gardens
2017,Delhi,15/04/17,Delhi Daredevils,Feroz Shah Kotla
2017,Mumbai,16/04/17,Gujarat Lions,Wankhede Stadium
2017,Bangalore,16/04/17,Rising Pune Supergiant,M Chinnaswamy Stadium
2017,Delhi,17/04/17,Delhi Daredevils,Feroz Shah Kotla
2017,Hyderabad,17/04/17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2017,Rajkot,18/04/17,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium
2017,Hyderabad,19/04/17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2017,Indore,20/04/17,Kings XI Punjab,Holkar Cricket Stadium
2017,Kolkata,21/04/17,Kolkata Knight Riders,Eden Gardens
2017,Mumbai,22/04/17,Mumbai Indians,Wankhede Stadium
